,Pool,Hotel stars,Free internet,Hotel name
8,0,0,1,2
461,1,2,1,9
118,1,2,1,16
263,1,3,1,11
472,1,2,1,9
128,1,4,1,1
124,1,4,1,1
170,1,4,1,12
428,1,4,1,13
343,1,0,1,18
387,1,1,1,19
385,1,1,1,19
381,1,0,1,5
196,1,4,1,20
268,1,4,1,3
453,1,4,1,0
152,1,4,1,10
438,1,4,1,0
269,1,4,1,3
457,1,2,1,9
245,1,3,1,11
119,1,2,1,16
227,1,4,1,17
156,1,4,1,10
371,1,0,1,5
164,1,4,1,10
220,1,4,1,17
273,1,4,1,3
91,1,2,1,15
351,1,0,1,18
180,1,4,1,12
240,1,3,1,11
208,1,4,1,20
81,1,2,1,15
338,1,0,1,18
295,1,1,1,6
229,1,4,1,17
129,1,4,1,1
311,1,1,1,6
299,1,1,1,6
366,1,0,1,5
452,1,4,1,0
501,1,2,1,14
401,1,1,1,19
301,1,1,1,6
388,1,1,1,19
270,1,4,1,3
40,1,0,1,4
150,1,4,1,10
368,1,0,1,5
432,1,4,1,0
285,1,4,1,3
286,1,4,1,3
63,1,2,0,8
121,1,4,1,1
238,1,4,1,17
254,1,3,1,11
6,0,0,1,2
364,1,0,1,5
348,1,0,1,18
171,1,4,1,12
161,1,4,1,10
193,1,4,1,20
200,1,4,1,20
11,0,0,1,2
279,1,4,1,3
113,1,2,1,16
89,1,2,1,15
42,1,0,1,4
315,1,1,1,7
182,1,4,1,12
474,1,2,1,9
415,1,4,1,13
214,1,4,1,20
450,1,4,1,0
242,1,3,1,11
423,1,4,1,13
210,1,4,1,20
97,1,2,1,16
354,1,0,1,18
178,1,4,1,12
247,1,3,1,11
158,1,4,1,10
2,0,0,1,2
100,1,2,1,16
490,1,2,1,14
76,1,2,1,15
434,1,4,1,0
133,1,4,1,1
372,1,0,1,5
104,1,2,1,16
154,1,4,1,10
383,1,0,1,5
362,1,0,1,5
271,1,4,1,3
105,1,2,1,16
309,1,1,1,6
74,1,2,1,15
25,1,0,1,4
41,1,0,1,4
155,1,4,1,10
132,1,4,1,1
199,1,4,1,20
218,1,4,1,17
198,1,4,1,20
73,1,2,1,15
272,1,4,1,3
305,1,1,1,6
298,1,1,1,6
355,1,0,1,18
476,1,2,1,9
400,1,1,1,19
379,1,0,1,5
135,1,4,1,1
157,1,4,1,10
386,1,1,1,19
302,1,1,1,6
243,1,3,1,11
425,1,4,1,13
239,1,4,1,17
139,1,4,1,1
427,1,4,1,13
289,1,1,1,6
331,1,1,1,7
414,1,4,1,13
292,1,1,1,6
359,1,0,1,18
412,1,4,1,13
370,1,0,1,5
447,1,4,1,0
122,1,4,1,1
195,1,4,1,20
406,1,1,1,19
341,1,0,1,18
332,1,1,1,7
487,1,2,1,14
363,1,0,1,5
257,1,3,1,11
312,1,1,1,7
179,1,4,1,12
147,1,4,1,10
213,1,4,1,20
282,1,4,1,3
255,1,3,1,11
125,1,4,1,1
130,1,4,1,1
352,1,0,1,18
244,1,3,1,11
407,1,1,1,19
339,1,0,1,18
137,1,4,1,1
310,1,1,1,6
419,1,4,1,13
117,1,2,1,16
390,1,1,1,19
327,1,1,1,7
144,1,4,1,10
402,1,1,1,19
48,1,2,0,8
466,1,2,1,9
71,1,2,0,8
307,1,1,1,6
93,1,2,1,15
266,1,4,1,3
202,1,4,1,20
172,1,4,1,12
13,0,0,1,2
39,1,0,1,4
30,1,0,1,4
185,1,4,1,12
153,1,4,1,10
403,1,1,1,19
345,1,0,1,18
241,1,3,1,11
103,1,2,1,16
55,1,2,0,8
264,1,4,1,3
377,1,0,1,5
384,1,1,1,19
194,1,4,1,20
45,1,0,1,4
393,1,1,1,19
224,1,4,1,17
306,1,1,1,6
278,1,4,1,3
439,1,4,1,0
4,0,0,1,2
280,1,4,1,3
456,1,2,1,9
108,1,2,1,16
246,1,3,1,11
433,1,4,1,0
231,1,4,1,17
186,1,4,1,12
106,1,2,1,16
317,1,1,1,7
234,1,4,1,17
65,1,2,0,8
51,1,2,0,8
36,1,0,1,4
291,1,1,1,6
357,1,0,1,18
216,1,4,1,17
454,1,4,1,0
29,1,0,1,4
460,1,2,1,9
252,1,3,1,11
284,1,4,1,3
313,1,1,1,7
175,1,4,1,12
431,1,4,1,13
149,1,4,1,10
66,1,2,0,8
146,1,4,1,10
138,1,4,1,1
482,1,2,1,14
9,0,0,1,2
356,1,0,1,18
469,1,2,1,9
68,1,2,0,8
326,1,1,1,7
15,0,0,1,2
169,1,4,1,12
44,1,0,1,4
465,1,2,1,9
408,1,4,1,13
235,1,4,1,17
303,1,1,1,6
440,1,4,1,0
435,1,4,1,0
367,1,0,1,5
260,1,3,1,11
225,1,4,1,17
230,1,4,1,17
320,1,1,1,7
463,1,2,1,9
275,1,4,1,3
493,1,2,1,14
464,1,2,1,9
330,1,1,1,7
382,1,0,1,5
293,1,1,1,6
217,1,4,1,17
174,1,4,1,12
47,1,0,1,4
237,1,4,1,17
206,1,4,1,20
336,1,0,1,18
283,1,4,1,3
115,1,2,1,16
57,1,2,0,8
424,1,4,1,13
1,0,0,1,2
449,1,4,1,0
488,1,2,1,14
53,1,2,0,8
87,1,2,1,15
222,1,4,1,17
38,1,0,1,4
287,1,4,1,3
398,1,1,1,19
99,1,2,1,16
369,1,0,1,5
479,1,2,1,9
56,1,2,0,8
376,1,0,1,5
288,1,1,1,6
265,1,4,1,3
14,0,0,1,2
342,1,0,1,18
96,1,2,1,16
422,1,4,1,13
297,1,1,1,6
181,1,4,1,12
358,1,0,1,18
496,1,2,1,14
145,1,4,1,10
333,1,1,1,7
486,1,2,1,14
347,1,0,1,18
267,1,4,1,3
58,1,2,0,8
395,1,1,1,19
54,1,2,0,8
190,1,4,1,12
205,1,4,1,20
500,1,2,1,14
203,1,4,1,20
184,1,4,1,12
62,1,2,0,8
52,1,2,0,8
375,1,0,1,5
259,1,3,1,11
276,1,4,1,3
23,0,0,1,2
340,1,0,1,18
173,1,4,1,12
300,1,1,1,6
207,1,4,1,20
420,1,4,1,13
318,1,1,1,7
451,1,4,1,0
373,1,0,1,5
281,1,4,1,3
335,1,1,1,7
160,1,4,1,10
140,1,4,1,1
162,1,4,1,10
391,1,1,1,19
107,1,2,1,16
404,1,1,1,19
95,1,2,1,15
360,1,0,1,5
233,1,4,1,17
131,1,4,1,1
503,1,2,1,14
21,0,0,1,2
204,1,4,1,20
78,1,2,1,15
116,1,2,1,16
294,1,1,1,6
380,1,0,1,5
473,1,2,1,9
110,1,2,1,16
